//char	type	Width	Filename
O	text	6	FontText_4F.png
P	text	6	FontText_50.png
Q	text	7	FontText_51.png
R	text	6	FontText_52.png
S	text	7	FontText_53.png
T	text	6	FontText_54.png
U	text	6	FontText_55.png
V	text	6	FontText_56.png
W	text	8	FontText_57.png
X	text	6	FontText_58.png
Y	text	6	FontText_59.png
Z	text	6	FontText_5A.png
[	text	3	FontText_5B.png
\	text	8	FontText_5C.png
]	text	3	FontText_5D.png
^	text	5	FontText_5E.png
_	text	4	FontText_5F.png
`	text	2	FontText_60.png
a	text	6	FontText_61.png
b	text	5	FontText_62.png
c	text	5	FontText_63.png
d	text	5	FontText_64.png
e	text	5	FontText_65.png
f	text	5	FontText_66.png
g	text	7	FontText_67.png
h	text	5	FontText_68.png
i	text	2	FontText_69.png
j	text	3	FontText_6A.png
k	text	5	FontText_6B.png
l	text	2	FontText_6C.png
m	text	6	FontText_6D.png
n	text	5	FontText_6E.png
o	text	5	FontText_6F.png
p	text	5	FontText_70.png
q	text	5	FontText_71.png
r	text	4	FontText_72.png
s	text	5	FontText_73.png
t	text	5	FontText_74.png
u	text	5	FontText_75.png
v	text	6	FontText_76.png
w	text	6	FontText_77.png
x	text	6	FontText_78.png
y	text	4	FontText_79.png
z	text	5	FontText_7A.png
{	text	4	FontText_7B.png
|	text	2	FontText_7C.png
}	text	4	FontText_7D.png
~	text	7	FontText_7E.png
	text	8	FontText_C28C.png
	text	2	FontText_C291.png
	text	2	FontText_C292.png
	text	5	FontText_C293.png
	text	5	FontText_C294.png
	text	8	FontText_C29C.png
¡	text	3	FontText_C2A1.png
ª	text	6	FontText_C2AA.png
«	text	5	FontText_C2AB.png
º	text	5	FontText_C2BA.png
»	text	5	FontText_C2BB.png
¿	text	7	FontText_C2BF.png
À	text	6	FontText_C380.png
Á	text	6	FontText_C381.png
Â	text	6	FontText_C382.png
Ä	text	6	FontText_C384.png
Ç	text	6	FontText_C387.png
È	text	6	FontText_C388.png
É	text	6	FontText_C389.png
Ê	text	6	FontText_C38A.png
Ë	text	6	FontText_C38B.png
Ì	text	4	FontText_C38C.png
Í	text	4	FontText_C38D.png
Î	text	4	FontText_C38E.png
Ï	text	4	FontText_C38F.png
Ñ	text	6	FontText_C391.png
Ò	text	6	FontText_C392.png
Ó	text	6	FontText_C393.png
Ô	text	6	FontText_C394.png
Ö	text	6	FontText_C396.png
Ù	text	6	FontText_C399.png
Ú	text	6	FontText_C39A.png
Û	text	6	FontText_C39B.png
Ü	text	6	FontText_C39C.png
ß	text	7	FontText_C39F.png
à	text	6	FontText_C3A0.png
á	text	6	FontText_C3A1.png
â	text	6	FontText_C3A2.png
ä	text	6	FontText_C3A4.png
ç	text	5	FontText_C3A7.png
è	text	5	FontText_C3A8.png
é	text	5	FontText_C3A9.png
ê	text	5	FontText_C3AA.png
ë	text	5	FontText_C3AB.png
ì	text	3	FontText_C3AC.png
í	text	3	FontText_C3AD.png
î	text	4	FontText_C3AE.png
ï	text	4	FontText_C3AF.png
ñ	text	5	FontText_C3B1.png
ò	text	5	FontText_C3B2.png
ó	text	5	FontText_C3B3.png
ô	text	5	FontText_C3B4.png
ö	text	5	FontText_C3B6.png
ù	text	5	FontText_C3B9.png
ú	text	5	FontText_C3BA.png
û	text	5	FontText_C3BB.png
ü	text	5	FontText_C3BC.png
