//char	type	Width	Filename
凱	item	12	FontItem凱_4D8A.png
哺	item	12	FontItem哺_4D9A.png
柚	item	12	FontItem柚_4D97.png
鮮	item	12	FontItem鮮_4E91.png
康	item	12	FontItem康_4E8D.png
哲	item	12	FontItem哲_4E93.png
劾	item	12	FontItem劾_4E8A.png
丑	item	12	FontItem丑_4E89.png
徹	item	12	FontItem徹_4F93.png
衆	item	12	FontItem衆_4F8F.png
弘	item	12	FontItem弘_4F8D.png
丹	item	12	FontItem丹_4F92.png
軌	item	12	FontItem軌_4F8B.png
飽	item	12	FontItem飽_4F96.png
薫	item	12	FontItem薫_4F8C.png
唇	item	12	FontItem唇_4F90.png
桧	item	12	FontItem桧_4F95.png
楼	item	12	FontItem楼_4F98.png
碓	item	12	FontItem碓_4F89.png
撤	item	12	FontItem撤_5093.png
恒	item	12	FontItem恒_508D.png
娠	item	12	FontItem娠_5090.png
傘	item	12	FontItem傘_508E.png
猶	item	12	FontItem猶_5097.png
臼	item	12	FontItem臼_5089.png
鳳	item	12	FontItem鳳_5096.png
膠	item	12	FontItem膠_50E4.png
甕	item	12	FontItem甕_50E1.png
飢	item	12	FontItem飢_518B.png
慌	item	12	FontItem慌_518D.png
鵬	item	12	FontItem鵬_5196.png
媛	item	12	FontItem媛_5195.png
漸	item	12	FontItem漸_5191.png
猷	item	12	FontItem猷_5197.png
撚	item	12	FontItem撚_5194.png
轍	item	12	FontItem轍_5193.png
讐	item	12	FontItem讐_518F.png
乏	item	12	FontItem乏_5296.png
崖	item	12	FontItem崖_528A.png
審	item	12	FontItem審_5290.png
燃	item	12	FontItem燃_5294.png
漏	item	12	FontItem漏_5298.png
迭	item	12	FontItem迭_5293.png
蹴	item	12	FontItem蹴_528F.png
嘘	item	12	FontItem嘘_5289.png
抒	item	12	FontItem抒_529D.png
儚	item	12	FontItem儚_5299.png
鉄	item	12	FontItem鉄_5393.png
郡	item	12	FontItem郡_538C.png
拘	item	12	FontItem拘_538D.png
粘	item	12	FontItem粘_5394.png
祐	item	12	FontItem祐_5397.png
慨	item	12	FontItem慨_538A.png
唄	item	12	FontItem唄_5389.png
典	item	12	FontItem典_5493.png
慎	item	12	FontItem慎_5490.png
裕	item	12	FontItem裕_5497.png
概	item	12	FontItem概_548A.png
