//char	type	Width	Filename
痩	item	12	FontItem_E797A9.png
跪	item	12	FontItem_E8B7AA.png
藪	item	12	FontItem_E897AA.png
凪	item	12	FontItem_E587AA.png
淫	item	12	FontItem_E6B7AB.png
諫	item	12	FontItem_E8ABAB.png
髭	item	12	FontItem_E9ABAD.png
僭	item	12	FontItem_E583AD.png
哭	item	12	FontItem_E593AD.png
◯	item	12	FontItem_E297AF.png
ð	item	7	FontItem_C3B0.png
曰	item	11	FontItem_E69BB0.png
棲	item	12	FontItem_E6A3B2.png
ø	item	7	FontItem_C3B8.png
蟻	item	12	FontItem_E89FBB.png
ý	item	6	FontItem_C3BD.png
─	text	8	FontText_E29480.png
昂	text	11	FontText_E69882.png
★	text	11	FontText_E29885.png
蠅	text	11	FontText_E8A085.png
逅	text	11	FontText_E98085.png
☆	text	11	FontText_E29886.png
霆	text	11	FontText_E99C86.png
〇	text	11	FontText_E38087.png
昏	text	11	FontText_E6988F.png
【	text	5	FontText_E38090.png
】	text	4	FontText_E38091.png
２	text	7	FontText_EFBC92.png
簒	text	11	FontText_E7B092.png
３	text	7	FontText_EFBC93.png
—	text	6	FontText_E28094.png
贔	text	11	FontText_E8B494.png
焔	text	11	FontText_E78494.png
５	text	7	FontText_EFBC95.png
―	text	6	FontText_E28095.png
６	text	7	FontText_EFBC96.png
贖	text	11	FontText_E8B496.png
７	text	7	FontText_EFBC97.png
’	text	3	FontText_E28099.png
騙	text	11	FontText_E9A899.png
焚	text	11	FontText_E7849A.png
爛	text	11	FontText_E7889B.png
訛	text	11	FontText_E8A89B.png
“	text	4	FontText_E2809C.png
猜	text	11	FontText_E78C9C.png
”	text	4	FontText_E2809D.png
＝	text	10	FontText_EFBC9D.png
鼠	text	11	FontText_E9BCA0.png
蠢	text	11	FontText_E8A0A2.png
訥	text	11	FontText_E8A8A5.png
…	text	6	FontText_E280A6.png
‧	text	2	FontText_E280A7.png
嘩	text	11	FontText_E598A9.png
褪	text	11	FontText_E8A4AA.png
截	text	11	FontText_E688AA.png
礫	text	11	FontText_E7A4AB.png
攫	text	11	FontText_E694AB.png
茫	text	11	FontText_E88CAB.png
鬱	text	11	FontText_E9ACB1.png
嬲	text	11	FontText_E5ACB2.png
琲	text	11	FontText_E790B2.png
嘴	text	11	FontText_E598B4.png
眷	text	11	FontText_E79CB7.png
欸	text	11	FontText_E6ACB8.png
爺	text	11	FontText_E788BA.png
蔽	text	11	FontText_E894BD.png
渾	text	11	FontText_E6B8BE.png
祀	text	11	FontText_E7A580.png
祂	text	11	FontText_E7A582.png
鵄	text	11	FontText_E9B584.png
詈	text	11	FontText_E8A988.png
煉	text	11	FontText_E78589.png
嵌	text	11	FontText_E5B58C.png
煌	text	11	FontText_E7858C.png
捏	text	11	FontText_E68D8F.png
腑	text	11	FontText_E88591.png
屑	text	11	FontText_E5B191.png
晒	text	11	FontText_E69992.png
屓	text	11	FontText_E5B193.png
楔	text	11	FontText_E6A594.png
驕	text	11	FontText_E9A995.png
蝙	text	11	FontText_E89D99.png
楚	text	11	FontText_E6A59A.png
