//char	type	Width	Filename
ʷ	text	6	FontText_CAB7.png
ʸ	text	4	FontText_CAB8.png
¹	text	4	FontText_C2B9.png
ᶻ	text	4	FontText_E1B6BB.png
Ⴝ	text	5	FontText_E182BD.png
ˡ	text	2	FontText_CBA1.png
ˢ	text	4	FontText_CBA2.png
ˣ	text	4	FontText_CBA3.png
ǫ	text	6	FontText_C7AB.png
ჯ	text	4	FontText_E183AF.png
